Date,GPR,GPR_percentile,GPR_regime
1999-09,69.58151245117188,12.82565130260521,LOW
1999-10,72.35348510742188,14.428857715430862,LOW
1999-11,57.9638671875,5.410821643286574,LOW
1999-12,86.0849380493164,37.4749498997996,LOW
2000-01,64.45780944824219,8.817635270541082,LOW
2000-02,63.54172134399414,7.81563126252505,LOW
2000-03,50.10198593139648,2.404809619238477,LOW
2000-04,48.6827392578125,2.0040080160320644,LOW
2000-05,79.48287963867188,24.04809619238477,LOW
2000-06,64.71781921386719,9.218436873747494,LOW
2000-07,51.90402221679688,3.2064128256513027,LOW
2000-08,46.49225616455078,1.2024048096192386,LOW
2000-09,52.68999862670898,3.4068136272545093,LOW
2000-10,76.45652770996094,20.04008016032064,LOW
2000-11,45.06056213378906,0.8016032064128257,LOW
2000-12,45.39509963989258,1.0020040080160322,LOW
2001-01,46.89955520629883,1.402805611222445,LOW
2001-02,55.08771133422852,4.609218436873747,LOW
2001-03,61.70895385742188,6.813627254509019,LOW
2001-04,50.5687370300293,2.80561122244489,LOW
2001-05,60.376861572265625,6.412825651302605,LOW
2001-06,72.06433868408203,14.228456913827655,LOW
2001-07,61.072940826416016,6.613226452905812,LOW
2001-08,64.10773468017578,8.41683366733467,LOW
2001-09,498.64788818359375,99.79959919839679,EXTREME
2001-10,512.5297241210938,100.0,EXTREME
2001-11,306.785888671875,98.59719438877755,EXTREME
2001-12,236.0997467041016,97.59519038076152,EXTREME
2002-01,172.47720336914062,95.19038076152304,EXTREME
2002-02,146.1857147216797,89.77955911823648,HIGH
2002-03,151.9763641357422,91.78356713426854,EXTREME
2002-04,157.49655151367188,92.98597194388778,EXTREME
2002-05,163.3223114013672,93.9879759519038,EXTREME
2002-06,149.33042907714844,91.18236472945893,EXTREME
2002-07,122.7783432006836,80.56112224448898,HIGH
2002-08,127.06451416015624,81.96392785571143,HIGH
2002-09,174.90333557128906,95.59118236472946,EXTREME
2002-10,172.03192138671875,94.98997995991984,EXTREME
2002-11,159.12759399414062,93.3867735470942,EXTREME
2002-12,175.8117218017578,95.79158316633267,EXTREME
2003-01,206.43460083007807,96.99398797595191,EXTREME
2003-02,239.6109313964844,97.79559118236473,EXTREME
2003-03,358.711181640625,99.39879759519039,EXTREME
2003-04,255.77517700195312,98.39679358717436,EXTREME
2003-05,162.1218719482422,93.7875751503006,EXTREME
2003-06,145.7697296142578,89.57915831663327,HIGH
2003-07,134.89891052246094,85.17034068136273,HIGH
2003-08,138.23092651367188,86.57314629258518,HIGH
2003-09,118.19628143310548,78.15631262525051,HIGH
2003-10,108.3173828125,69.93987975951904,MODERATE
2003-11,118.0866928100586,77.9559118236473,HIGH
2003-12,129.46507263183594,82.56513026052104,HIGH
2004-01,113.46759033203124,74.9498997995992,MODERATE
2004-02,115.0759735107422,75.75150300601203,HIGH
2004-03,138.53207397460938,87.17434869739479,HIGH
2004-04,149.6313934326172,91.38276553106213,EXTREME
2004-05,121.0911865234375,79.95991983967936,HIGH
2004-06,137.23391723632812,86.37274549098197,HIGH
2004-07,131.0198516845703,83.56713426853707,HIGH
2004-08,140.36582946777344,87.97595190380761,HIGH
2004-09,153.87161254882812,92.38476953907816,EXTREME
2004-10,119.86279296875,79.15831663326654,HIGH
2004-11,122.70738983154295,80.36072144288578,HIGH
2004-12,109.89522552490234,71.34268537074149,MODERATE
2005-01,100.88758850097656,61.52304609218437,MODERATE
2005-02,108.97796630859376,70.34068136272545,MODERATE
2005-03,90.41048431396484,45.69138276553107,LOW
2005-04,87.03240203857422,38.877755511022045,LOW
2005-05,98.20596313476562,57.91583166332666,MODERATE
2005-06,81.12405395507812,27.054108216432866,LOW
2005-07,165.90191650390625,94.38877755511022,EXTREME
2005-08,116.2276611328125,76.35270541082164,HIGH
2005-09,103.8076629638672,64.72945891783567,MODERATE
2005-10,87.06182861328125,39.078156312625254,LOW
2005-11,83.48009490966797,32.86573146292585,LOW
2005-12,95.35025024414062,53.70741482965932,MODERATE
2006-01,94.51001739501952,52.30460921843687,MODERATE
2006-02,95.85819244384766,54.10821643286573,MODERATE
2006-03,92.79762268066406,49.699398797595194,LOW
2006-04,89.01580047607422,42.88577154308617,LOW
2006-05,85.20877838134766,35.07014028056113,LOW
2006-06,102.57276916503906,63.12625250501002,MODERATE
2006-07,137.13482666015625,86.17234468937876,HIGH
2006-08,147.08111572265625,90.1803607214429,EXTREME
2006-09,111.72425842285156,72.54509018036072,MODERATE
2006-10,113.1352996826172,74.34869739478958,MODERATE
2006-11,88.77892303466797,42.48496993987976,LOW
2006-12,90.60655975341795,46.29258517034068,LOW
2007-01,97.9200439453125,57.51503006012024,MODERATE
2007-02,96.16935729980467,54.90981963927856,MODERATE
2007-03,87.33650207519531,39.478957915831664,LOW
2007-04,76.6133804321289,20.240480961923847,LOW
2007-05,92.5995864868164,49.498997995991985,LOW
2007-06,97.9723129272461,57.71543086172345,MODERATE
2007-07,112.34625244140624,73.34669338677355,MODERATE
